x,V_lith,V_delith,V_avg,M_hyst
-10,4,4,4,0
0,4,4,4,0
0.01,3.405824677,3.642853684,3.52433918,0.118514503
0.013935743,3.405888931,3.626180268,3.516034599,0.110145668
0.017871486,3.405739737,3.610349414,3.508044575,0.102304839
0.021807229,3.405723823,3.595168026,3.500445925,0.094722101
0.025742972,3.405693217,3.580389362,3.49304129,0.087348073
0.029678715,3.405646609,3.565838769,3.485742689,0.08009608
0.033614458,3.405603693,3.551673814,3.478638754,0.073035061
0.037550201,3.40555845,3.538168032,3.471863241,0.066304791
0.041485944,3.405521118,3.525763888,3.465642503,0.060121385
0.045421687,3.405505765,3.514963614,3.460234689,0.054728924
0.04935743,3.405422513,3.506132158,3.455777336,0.050354822
0.053293173,3.405320925,3.499153847,3.452237386,0.046916461
0.057228916,3.405204048,3.493689098,3.449446573,0.044242525
0.061164659,3.405051382,3.489287515,3.447169449,0.042118067
0.065100402,3.404956557,3.485616415,3.445286486,0.040329929
0.069036145,3.404887258,3.482562452,3.443724855,0.038837597
0.072971888,3.404778114,3.480107176,3.442442645,0.037664531
0.076907631,3.404667549,3.47798917,3.44132836,0.036660811
0.080843373,3.404531547,3.476099986,3.440315767,0.03578422
0.084779116,3.404450294,3.474409187,3.43942974,0.034979447
0.088714859,3.404353116,3.472991599,3.438672358,0.034319241
0.092650602,3.404217056,3.471783216,3.438000136,0.03378308
0.096586345,3.404162708,3.470651908,3.437407308,0.0332446
0.100522088,3.404053409,3.469676845,3.436865127,0.032811718
0.104457831,3.403884852,3.468829365,3.436357108,0.032472256
0.108393574,3.403794658,3.468024798,3.435909728,0.03211507
0.112329317,3.403772666,3.467307281,3.435539974,0.031767308
0.11626506,3.403722566,3.46665549,3.435189028,0.031466462
0.120200803,3.403646622,3.466066527,3.434856575,0.031209952
0.124136546,3.40359285,3.465538718,3.434565784,0.030972934
0.128072289,3.403523614,3.465047403,3.434285509,0.030761895
0.132008032,3.403431554,3.464560697,3.433996125,0.030564572
0.135943775,3.403347175,3.464084105,3.43371564,0.030368465
0.139879518,3.403287585,3.46367892,3.433483253,0.030195668
0.143815261,3.403220936,3.463329957,3.433275446,0.030054511
0.147751004,3.403170803,3.46296856,3.433069682,0.029898878
0.151686747,3.403133462,3.462691689,3.432912575,0.029779114
0.15562249,3.403041302,3.462489069,3.432765185,0.029723884
0.159558233,3.402978644,3.462288079,3.432633361,0.029654718
0.163493976,3.402966231,3.462056598,3.432511415,0.029545183
0.167429719,3.402938854,3.46182682,3.432382837,0.029443983
0.171365462,3.40286669,3.461574305,3.432220498,0.029353808
0.175301205,3.402792846,3.461256182,3.432024514,0.029231668
0.179236948,3.402758499,3.460971492,3.431864996,0.029106496
0.183172691,3.402718977,3.460786221,3.431752599,0.029033622
0.187108434,3.402650512,3.460675318,3.431662915,0.029012403
0.191044177,3.402595439,3.460522652,3.431559045,0.028963607
0.19497992,3.402552237,3.460445916,3.431499076,0.02894684
0.198915663,3.402525976,3.460409344,3.43146766,0.028941684
0.202851406,3.402479637,3.460289663,3.43138465,0.028905013
0.206787149,3.402419826,3.460104983,3.431262405,0.028842578
0.210722892,3.402400844,3.459930973,3.431165909,0.028765064
0.214658635,3.402389649,3.459811558,3.431100604,0.028710955
0.218594378,3.402266878,3.459711924,3.430989401,0.028722523
0.22253012,3.402176539,3.459601062,3.4308888,0.028712262
0.226465863,3.402183964,3.459485092,3.430834528,0.028650564
0.230401606,3.402157884,3.45944527,3.430801577,0.028643693
0.234337349,3.402101832,3.459381294,3.430741563,0.028639731
0.238273092,3.402031928,3.459268576,3.430650252,0.028618324
0.242208835,3.401999084,3.459215626,3.430607355,0.028608271
0.246144578,3.401961518,3.459142415,3.430551967,0.028590448
0.250080321,3.40187962,3.459075685,3.430477653,0.028598032
0.254016064,3.401784506,3.459038024,3.430411265,0.028626759
0.257951807,3.401714814,3.458896437,3.430305625,0.028590811
0.26188755,3.401688408,3.458695289,3.430191848,0.02850344
0.265823293,3.40167001,3.458614111,3.430142061,0.02847205
0.269759036,3.401610516,3.458576749,3.430093633,0.028483117
0.273694779,3.401595028,3.458462869,3.430028948,0.02843392
0.277630522,3.401564394,3.45836126,3.429962827,0.028398433
0.281566265,3.401526007,3.458360067,3.429943037,0.02841703
0.285502008,3.401518443,3.458340246,3.429929344,0.028410901
0.289437751,3.40146651,3.458262365,3.429864437,0.028397928
0.293373494,3.401344925,3.458195908,3.429770416,0.028425492
0.297309237,3.401290019,3.458185863,3.429737941,0.028447922
0.30124498,3.401268422,3.458118616,3.429693519,0.028425097
0.305180723,3.401256807,3.458001412,3.42962911,0.028372302
0.309116466,3.401227814,3.45781858,3.429523197,0.028295383
0.313052209,3.401206198,3.457706123,3.429456161,0.028249962
0.316987952,3.401162454,3.457647599,3.429405027,0.028242573
0.320923695,3.401123101,3.457572595,3.429347848,0.028224747
0.324859438,3.401040416,3.457540608,3.429290512,0.028250096
0.328795181,3.401009167,3.45750363,3.429256399,0.028247232
0.332730924,3.401005249,3.457415637,3.429210443,0.028205194
0.336666667,3.400989992,3.457349985,3.429169988,0.028179997
0.34060241,3.400948136,3.457330156,3.429139146,0.02819101
0.344538153,3.400924734,3.4573279,3.429126317,0.028201583
0.348473896,3.400864561,3.457222206,3.429043384,0.028178823
0.352409639,3.400757755,3.457162002,3.428959879,0.028202123
0.356345382,3.40070839,3.457122674,3.428915532,0.028207142
0.360281124,3.400700716,3.457038945,3.42886983,0.028169114
0.364216867,3.400692963,3.456958735,3.428825849,0.028132886
0.36815261,3.400672305,3.45694342,3.428807862,0.028135558
0.372088353,3.400663573,3.456927385,3.428795479,0.028131906
0.376024096,3.400641435,3.456908074,3.428774755,0.02813332
0.379959839,3.400631789,3.456911041,3.428771415,0.028139626
0.383895582,3.400564466,3.456822663,3.428693565,0.028129098
0.387831325,3.400426995,3.4567156,3.428571298,0.028144303
0.391767068,3.400373747,3.456686736,3.428530241,0.028156494
0.395702811,3.400358662,3.456616399,3.42848753,0.028128869
0.399638554,3.400287228,3.456538856,3.428413042,0.028125814
0.403574297,3.400226775,3.456526636,3.428376705,0.02814993
0.40751004,3.400218943,3.456517348,3.428368146,0.028149202
0.411445783,3.400190455,3.456451367,3.428320911,0.028130456
0.415381526,3.400128279,3.456427332,3.428277806,0.028149527
0.419317269,3.400094098,3.456337202,3.42821565,0.028121552
0.423253012,3.400084537,3.456265257,3.428174897,0.02809036
0.427188755,3.400046983,3.456240857,3.42814392,0.028096937
0.431124498,3.399986099,3.456201381,3.42809374,0.028107641
0.435060241,3.399969981,3.45615252,3.42806125,0.02809127
0.438995984,3.399896691,3.456081138,3.427988914,0.028092223
0.442931727,3.399802872,3.456017676,3.427910274,0.028107402
0.44686747,3.399773474,3.455954007,3.427863741,0.028090266
0.450803213,3.399742702,3.455885277,3.427813989,0.028071287
0.454738956,3.399728746,3.455884152,3.427806449,0.028077703
0.458674699,3.399723345,3.455833089,3.427778217,0.028054872
0.462610442,3.399624976,3.455824542,3.427724759,0.028099783
0.466546185,3.399543683,3.455797776,3.427670729,0.028127046
0.470481928,3.399470125,3.455697582,3.427583854,0.028113729
0.474417671,3.399418119,3.455664194,3.427541156,0.028123038
0.478353414,3.399390133,3.455652103,3.427521118,0.028130985
0.482289157,3.399333245,3.455648286,3.427490765,0.02815752
0.4862249,3.399273882,3.455593814,3.427433848,0.028159966
0.490160643,3.399253361,3.455496812,3.427375086,0.028121726
0.494096386,3.399235695,3.455402281,3.427318988,0.028083293
0.498032129,3.399162714,3.455333354,3.427248034,0.02808532
0.501967871,3.399074822,3.455265884,3.427170353,0.028095531
0.505903614,3.399048106,3.455191872,3.427119989,0.028071883
0.509839357,3.399034499,3.455197519,3.427116009,0.02808151
0.5137751,3.398976725,3.45516303,3.427069877,0.028093152
0.517710843,3.398924672,3.455137223,3.427030948,0.028106275
0.521646586,3.398875283,3.455098919,3.426987101,0.028111818
0.525582329,3.39880881,3.455059389,3.4269341,0.028125289
0.529518072,3.398721663,3.454948639,3.426835151,0.028113488
0.533453815,3.398698771,3.454895028,3.426796899,0.028098128
0.537389558,3.398682784,3.454899264,3.426791024,0.02810824
0.541325301,3.398670119,3.45483745,3.426753784,0.028083666
0.545261044,3.398657772,3.454738528,3.42669815,0.028040378
0.549196787,3.398594924,3.454679635,3.426637279,0.028042355
0.55313253,3.39845127,3.454626443,3.426538856,0.028087587
0.557068273,3.398405781,3.454533101,3.426469441,0.02806366
0.561004016,3.398364585,3.454492215,3.4264284,0.028063815
0.564939759,3.398337416,3.454466057,3.426401737,0.028064321
0.568875502,3.398290391,3.454422814,3.426356602,0.028066211
0.572811245,3.398145207,3.454403343,3.426274275,0.028129068
0.576746988,3.398038485,3.454358045,3.426198265,0.02815978
0.580682731,3.398035915,3.454276192,3.426156053,0.028120138
0.584618474,3.397980017,3.454254493,3.426117255,0.028137238
0.588554217,3.39791444,3.454154835,3.426034638,0.028120197
0.59248996,3.397904684,3.4541168,3.426010742,0.028106058
0.596425703,3.397849954,3.454057053,3.425953504,0.028103549
0.600361446,3.397729312,3.454037068,3.42588319,0.028153878
0.604297189,3.397675349,3.454017583,3.425846466,0.028171117
0.608232932,3.397653221,3.453957151,3.425805186,0.028151965
0.612168675,3.39762833,3.453786409,3.42570737,0.02807904
0.616104418,3.397596212,3.453690201,3.425643206,0.028046995
0.620040161,3.397524706,3.453676649,3.425600678,0.028075971
0.623975904,3.397498325,3.453669931,3.425584128,0.028085803
0.627911647,3.397493571,3.453606646,3.425550108,0.028056538
0.63184739,3.397464261,3.4535108,3.42548753,0.028023269
0.635783133,3.397371367,3.453436778,3.425404072,0.028032705
0.639718876,3.39721207,3.453381437,3.425296754,0.028084683
0.643654618,3.397076717,3.453292936,3.425184827,0.028108109
0.647590361,3.397040779,3.453216901,3.42512884,0.028088061
0.651526104,3.39702443,3.45319024,3.425107335,0.028082905
0.655461847,3.396931071,3.453152986,3.425042029,0.028110958
0.65939759,3.396775708,3.453086248,3.424930978,0.02815527
0.663333333,3.396674987,3.453006003,3.424840495,0.028165508
0.667269076,3.396626323,3.452947071,3.424786697,0.028160374
0.671204819,3.396587316,3.452894443,3.42474088,0.028153564
0.675140562,3.396564071,3.452884615,3.424724343,0.028160272
0.679076305,3.396500139,3.452829361,3.42466475,0.028164611
0.683012048,3.396442497,3.452714332,3.424578414,0.028135918
0.686947791,3.396418353,3.452662412,3.424540382,0.028122029
0.690883534,3.39634338,3.452634519,3.42448895,0.028145569
0.694819277,3.396219055,3.452614261,3.424416658,0.028197603
0.69875502,3.396128529,3.452604714,3.424366622,0.028238093
0.702690763,3.39604462,3.452583756,3.424314188,0.028269568
0.706626506,3.395980687,3.452521025,3.424250856,0.028270169
0.710562249,3.395919303,3.452464386,3.424191844,0.028272541
0.714497992,3.395818845,3.452387876,3.424103361,0.028284515
0.718433735,3.395755321,3.452335562,3.424045442,0.028290121
0.722369478,3.395740789,3.452284771,3.42401278,0.028271991
0.726305221,3.395710971,3.452230849,3.42397091,0.028259939
0.730240964,3.395615188,3.452168091,3.42389164,0.028276452
0.734176707,3.395498918,3.452161038,3.423829978,0.02833106
0.73811245,3.395442507,3.4521336,3.423788054,0.028345547
0.742048193,3.39541152,3.452114359,3.42376294,0.028351419
0.745983936,3.395341481,3.452070592,3.423706036,0.028364556
0.749919679,3.395228164,3.452046764,3.423637464,0.0284093
0.753855422,3.395051836,3.452002876,3.423527356,0.02847552
0.757791165,3.394880127,3.451980984,3.423430555,0.028550429
0.761726908,3.394801846,3.451941229,3.423371537,0.028569692
0.765662651,3.394750437,3.451935815,3.423343126,0.028592689
0.769598394,3.39468121,3.451910992,3.423296101,0.028614891
0.773534137,3.394547906,3.451856334,3.42320212,0.028654214
0.77746988,3.394402335,3.451782536,3.423092435,0.0286901
0.781405622,3.394242478,3.45176186,3.423002169,0.028759691
0.785341365,3.394150722,3.451662853,3.422906787,0.028756066
0.789277108,3.394079811,3.451640193,3.422860002,0.028780191
0.793212851,3.393908098,3.451621138,3.422764618,0.02885652
0.797148594,3.393786018,3.451606863,3.422696441,0.028910423
0.801084337,3.393731315,3.451588325,3.42265982,0.028928505
0.80502008,3.393595932,3.451505219,3.422550575,0.028954643
0.808955823,3.393412309,3.451407506,3.422409907,0.028997598
0.812891566,3.393310111,3.451307337,3.422308724,0.028998613
0.816827309,3.393229756,3.451253072,3.422241414,0.029011658
0.820763052,3.393068171,3.451246268,3.422157219,0.029089048
0.824698795,3.392857342,3.451224268,3.422040805,0.029183463
0.828634538,3.392714835,3.451204537,3.421959686,0.029244851
0.832570281,3.392621318,3.451067844,3.421844581,0.029223263
0.836506024,3.392456914,3.450953601,3.421705257,0.029248344
0.840441767,3.392187029,3.450878406,3.421532717,0.029345688
0.84437751,3.391877579,3.450882119,3.421379849,0.02950227
0.848313253,3.391620825,3.450840758,3.421230792,0.029609966
0.852248996,3.391382808,3.450746522,3.421064665,0.029681857
0.856184739,3.391066644,3.450717756,3.4208922,0.029825556
0.860120482,3.390685752,3.450631229,3.420658491,0.029972738
0.864056225,3.390270518,3.450544448,3.420407483,0.030136965
0.867991968,3.389808367,3.450505342,3.420156854,0.030348487
0.871927711,3.389238608,3.450417351,3.41982798,0.030589372
0.875863454,3.388590425,3.450378823,3.419484624,0.030894199
0.879799197,3.387848153,3.450293866,3.41907101,0.031222857
0.88373494,3.386996747,3.450192097,3.418594422,0.031597675
0.887670683,3.386133168,3.450177123,3.418155146,0.032021978
0.891606426,3.3850851,3.450118999,3.417602049,0.03251695
0.895542169,3.383839466,3.450109509,3.416974488,0.033135022
0.899477912,3.382458408,3.450049491,3.416253949,0.033795542
0.903413655,3.380810284,3.449982047,3.415396165,0.034585881
0.907349398,3.378875654,3.449916525,3.414396089,0.035520436
0.911285141,3.376620044,3.449881291,3.413250668,0.036630623
0.915220884,3.373794632,3.449841953,3.411818292,0.03802366
0.919156627,3.370255326,3.449774217,3.410014772,0.039759446
0.923092369,3.365897208,3.449759646,3.407828427,0.041931219
0.927028112,3.360523023,3.449730525,3.405126774,0.044603751
0.930963855,3.35403062,3.449686602,3.401858611,0.047827991
0.934899598,3.346480906,3.449592281,3.398036594,0.051555687
0.938835341,3.337796206,3.449577903,3.393687055,0.055890849
0.942771084,3.327989281,3.449556029,3.388772655,0.060783374
0.946706827,3.317150813,3.449554893,3.383352853,0.06620204
0.95064257,3.305265487,3.44953783,3.377401659,0.072136172
0.954578313,3.292301547,3.449530764,3.370916155,0.078614608
0.958514056,3.278051782,3.449523813,3.363787797,0.085736015
0.962449799,3.262218989,3.449519326,3.355869157,0.093650169
0.966385542,3.244455925,3.449499027,3.346977476,0.102521551
0.970321285,3.224205234,3.449490765,3.336847999,0.112642766
0.974257028,3.200532494,3.449467865,3.325000179,0.124467685
0.978192771,3.171787245,3.449465419,3.310626332,0.138839087
0.982128514,3.134992349,3.449483811,3.29223808,0.157245731
0.986064257,3.084407235,3.448923097,3.266665166,0.182257931
0.99,3.010393915,3.436474233,3.223434074,0.213040159
1,2,2,2,0
10,2,2,2,0
